COUNTRY,Country,ECO_SECTOR,Economic,GENDER,Gender,OCCUP_RATE,Occupation,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,EFIS,Fishing Sector,FEM,Female,FU,Full time,2005,2005,NBR,Number,0,Units,,,252,,
AUS,Australia,EFIS,Fishing Sector,FEM,Female,FU,Full time,2006,2006,NBR,Number,0,Units,,,396,,
AUS,Australia,EFIS,Fishing Sector,FEM,Female,FU,Full time,2007,2007,NBR,Number,0,Units,,,340,,
AUS,Australia,EFIS,Fishing Sector,FEM,Female,FU,Full time,2008,2008,NBR,Number,0,Units,,,396,,
AUS,Australia,EFIS,Fishing Sector,FEM,Female,FU,Full time,2009,2009,NBR,Number,0,Units,,,94,,
AUS,Australia,EFIS,Fishing Sector,FEM,Female,FU,Full time,2010,2010,NBR,Number,0,Units,,,426,,
AUS,Australia,EFIS,Fishing Sector,FEM,Female,FU,Full time,2011,2011,NBR,Number,0,Units,,,20,,
AUS,Australia,EFIS,Fishing Sector,FEM,Female,FU,Full time,2012,2012,NBR,Number,0,Units,,,301,,
AUS,Australia,EFIS,Fishing Sector,FEM,Female,FU,Full time,2013,2013,NBR,Number,0,Units,,,118,,
AUS,Australia,EFIS,Fishing Sector,FEM,Female,FU,Full time,2014,2014,NBR,Number,0,Units,,,73,,
AUS,Australia,EFIS,Fishing Sector,FEM,Female,FU,Full time,2015,2015,NBR,Number,0,Units,,,17,,
AUS,Australia,EFIS,Fishing Sector,FEM,Female,FU,Full time,2016,2016,NBR,Number,0,Units,,,313,,
AUS,Australia,EFIS,Fishing Sector,FEM,Female,FU,Full time,2017,2017,NBR,Number,0,Units,,,322,,
AUS,Australia,EUNF,Unspecified Fishing,TOT,Total by Gender,TT,Total by Occupation rate,2005,2005,NBR,Number,0,Units,,,7441,,
AUS,Australia,EUNF,Unspecified Fishing,TOT,Total by Gender,TT,Total by Occupation rate,2006,2006,NBR,Number,0,Units,,,8235,,
AUS,Australia,EUNF,Unspecified Fishing,TOT,Total by Gender,TT,Total by Occupation rate,2007,2007,NBR,Number,0,Units,,,6151,,
AUS,Australia,EUNF,Unspecified Fishing,TOT,Total by Gender,TT,Total by Occupation rate,2008,2008,NBR,Number,0,Units,,,9239,,
AUS,Australia,EUNF,Unspecified Fishing,TOT,Total by Gender,TT,Total by Occupation rate,2009,2009,NBR,Number,0,Units,,,4469,,
AUS,Australia,EUNF,Unspecified Fishing,TOT,Total by Gender,TT,Total by Occupation rate,2010,2010,NBR,Number,0,Units,,,7801,,
AUS,Australia,EUNF,Unspecified Fishing,TOT,Total by Gender,TT,Total by Occupation rate,2011,2011,NBR,Number,0,Units,,,7403,,
AUS,Australia,EUNF,Unspecified Fishing,TOT,Total by Gender,TT,Total by Occupation rate,2012,2012,NBR,Number,0,Units,,,7057,,
AUS,Australia,EUNF,Unspecified Fishing,TOT,Total by Gender,TT,Total by Occupation rate,2013,2013,NBR,Number,0,Units,,,6008,,
AUS,Australia,EUNF,Unspecified Fishing,TOT,Total by Gender,TT,Total by Occupation rate,2014,2014,NBR,Number,0,Units,,,3561,,
AUS,Australia,EUNF,Unspecified Fishing,TOT,Total by Gender,TT,Total by Occupation rate,2015,2015,NBR,Number,0,Units,,,7183,,
AUS,Australia,EUNF,Unspecified Fishing,TOT,Total by Gender,TT,Total by Occupation rate,2016,2016,NBR,Number,0,Units,,,5602,,
AUS,Australia,EUNF,Unspecified Fishing,TOT,Total by Gender,TT,Total by Occupation rate,2017,2017,NBR,Number,0,Units,,,7593,,
AUS,Australia,EUNF,Unspecified Fishing,TOT,Total by Gender,PA,Part time,2005,2005,NBR,Number,0,Units,,,1918,,
AUS,Australia,EUNF,Unspecified Fishing,TOT,Total by Gender,PA,Part time,2006,2006,NBR,Number,0,Units,,,3341,,
AUS,Australia,EUNF,Unspecified Fishing,TOT,Total by Gender,PA,Part time,2007,2007,NBR,Number,0,Units,,,1321,,
AUS,Australia,EUNF,Unspecified Fishing,TOT,Total by Gender,PA,Part time,2008,2008,NBR,Number,0,Units,,,2542,,
AUS,Australia,EUNF,Unspecified Fishing,TOT,Total by Gender,PA,Part time,2009,2009,NBR,Number,0,Units,,,2078,,
AUS,Australia,EUNF,Unspecified Fishing,TOT,Total by Gender,PA,Part time,2010,2010,NBR,Number,0,Units,,,2298,,
AUS,Australia,EUNF,Unspecified Fishing,TOT,Total by Gender,PA,Part time,2011,2011,NBR,Number,0,Units,,,2196,,
AUS,Australia,EUNF,Unspecified Fishing,TOT,Total by Gender,PA,Part time,2012,2012,NBR,Number,0,Units,,,2024,,
AUS,Australia,EUNF,Unspecified Fishing,TOT,Total by Gender,PA,Part time,2013,2013,NBR,Number,0,Units,,,1661,,
AUS,Australia,EUNF,Unspecified Fishing,TOT,Total by Gender,PA,Part time,2014,2014,NBR,Number,0,Units,,,1345,,
AUS,Australia,EUNF,Unspecified Fishing,TOT,Total by Gender,PA,Part time,2015,2015,NBR,Number,0,Units,,,1957,,
AUS,Australia,EUNF,Unspecified Fishing,TOT,Total by Gender,PA,Part time,2016,2016,NBR,Number,0,Units,,,1233,,
AUS,Australia,EUNF,Unspecified Fishing,TOT,Total by Gender,PA,Part time,2017,2017,NBR,Number,0,Units,,,2196,,
AUS,Australia,EUNF,Unspecified Fishing,TOT,Total by Gender,FU,Full time,2005,2005,NBR,Number,0,Units,,,5524,,
AUS,Australia,EUNF,Unspecified Fishing,TOT,Total by Gender,FU,Full time,2006,2006,NBR,Number,0,Units,,,4894,,
AUS,Australia,EUNF,Unspecified Fishing,TOT,Total by Gender,FU,Full time,2007,2007,NBR,Number,0,Units,,,4830,,
AUS,Australia,EUNF,Unspecified Fishing,TOT,Total by Gender,FU,Full time,2008,2008,NBR,Number,0,Units,,,6697,,
AUS,Australia,EUNF,Unspecified Fishing,TOT,Total by Gender,FU,Full time,2009,2009,NBR,Number,0,Units,,,2392,,
AUS,Australia,EUNF,Unspecified Fishing,TOT,Total by Gender,FU,Full time,2010,2010,NBR,Number,0,Units,,,5503,,
AUS,Australia,EUNF,Unspecified Fishing,TOT,Total by Gender,FU,Full time,2011,2011,NBR,Number,0,Units,,,5207,,
AUS,Australia,EUNF,Unspecified Fishing,TOT,Total by Gender,FU,Full time,2012,2012,NBR,Number,0,Units,,,5034,,
AUS,Australia,EUNF,Unspecified Fishing,TOT,Total by Gender,FU,Full time,2013,2013,NBR,Number,0,Units,,,4346,,
AUS,Australia,EUNF,Unspecified Fishing,TOT,Total by Gender,FU,Full time,2014,2014,NBR,Number,0,Units,,,2215,,
AUS,Australia,EUNF,Unspecified Fishing,TOT,Total by Gender,FU,Full time,2015,2015,NBR,Number,0,Units,,,5226,,
AUS,Australia,EUNF,Unspecified Fishing,TOT,Total by Gender,FU,Full time,2016,2016,NBR,Number,0,Units,,,4369,,
AUS,Australia,EUNF,Unspecified Fishing,TOT,Total by Gender,FU,Full time,2017,2017,NBR,Number,0,Units,,,5397,,
AUS,Australia,EUNF,Unspecified Fishing,MAL,Male,TT,Total by Occupation rate,2005,2005,NBR,Number,0,Units,,,6200,,
AUS,Australia,EUNF,Unspecified Fishing,MAL,Male,TT,Total by Occupation rate,2006,2006,NBR,Number,0,Units,,,6277,,
AUS,Australia,EUNF,Unspecified Fishing,MAL,Male,TT,Total by Occupation rate,2007,2007,NBR,Number,0,Units,,,5233,,
AUS,Australia,EUNF,Unspecified Fishing,MAL,Male,TT,Total by Occupation rate,2008,2008,NBR,Number,0,Units,,,7801,,
AUS,Australia,EUNF,Unspecified Fishing,MAL,Male,TT,Total by Occupation rate,2009,2009,NBR,Number,0,Units,,,3568,,
AUS,Australia,EUNF,Unspecified Fishing,MAL,Male,TT,Total by Occupation rate,2010,2010,NBR,Number,0,Units,,,6846,,
AUS,Australia,EUNF,Unspecified Fishing,MAL,Male,TT,Total by Occupation rate,2011,2011,NBR,Number,0,Units,,,6299,,
AUS,Australia,EUNF,Unspecified Fishing,MAL,Male,TT,Total by Occupation rate,2012,2012,NBR,Number,0,Units,,,6340,,
AUS,Australia,EUNF,Unspecified Fishing,MAL,Male,TT,Total by Occupation rate,2013,2013,NBR,Number,0,Units,,,5238,,
AUS,Australia,EUNF,Unspecified Fishing,MAL,Male,TT,Total by Occupation rate,2014,2014,NBR,Number,0,Units,,,3200,,
AUS,Australia,EUNF,Unspecified Fishing,MAL,Male,TT,Total by Occupation rate,2015,2015,NBR,Number,0,Units,,,6287,,
AUS,Australia,EUNF,Unspecified Fishing,MAL,Male,TT,Total by Occupation rate,2016,2016,NBR,Number,0,Units,,,4713,,
AUS,Australia,EUNF,Unspecified Fishing,MAL,Male,TT,Total by Occupation rate,2017,2017,NBR,Number,0,Units,,,6706,,
AUS,Australia,EUNF,Unspecified Fishing,MAL,Male,PA,Part time,2005,2005,NBR,Number,0,Units,,,928,,
AUS,Australia,EUNF,Unspecified Fishing,MAL,Male,PA,Part time,2006,2006,NBR,Number,0,Units,,,1778,,
AUS,Australia,EUNF,Unspecified Fishing,MAL,Male,PA,Part time,2007,2007,NBR,Number,0,Units,,,743,,
AUS,Australia,EUNF,Unspecified Fishing,MAL,Male,PA,Part time,2008,2008,NBR,Number,0,Units,,,1499,,
AUS,Australia,EUNF,Unspecified Fishing,MAL,Male,PA,Part time,2009,2009,NBR,Number,0,Units,,,1271,,
AUS,Australia,EUNF,Unspecified Fishing,MAL,Male,PA,Part time,2010,2010,NBR,Number,0,Units,,,1769,,
AUS,Australia,EUNF,Unspecified Fishing,MAL,Male,PA,Part time,2011,2011,NBR,Number,0,Units,,,1112,,
AUS,Australia,EUNF,Unspecified Fishing,MAL,Male,PA,Part time,2012,2012,NBR,Number,0,Units,,,1607,,
AUS,Australia,EUNF,Unspecified Fishing,MAL,Male,PA,Part time,2013,2013,NBR,Number,0,Units,,,1009,,
AUS,Australia,EUNF,Unspecified Fishing,MAL,Male,PA,Part time,2014,2014,NBR,Number,0,Units,,,1058,,
AUS,Australia,EUNF,Unspecified Fishing,MAL,Male,PA,Part time,2015,2015,NBR,Number,0,Units,,,1078,,
AUS,Australia,EUNF,Unspecified Fishing,MAL,Male,PA,Part time,2016,2016,NBR,Number,0,Units,,,657,,
AUS,Australia,EUNF,Unspecified Fishing,MAL,Male,PA,Part time,2017,2017,NBR,Number,0,Units,,,1630,,
AUS,Australia,EUNF,Unspecified Fishing,MAL,Male,FU,Full time,2005,2005,NBR,Number,0,Units,,,5272,,
AUS,Australia,EUNF,Unspecified Fishing,MAL,Male,FU,Full time,2006,2006,NBR,Number,0,Units,,,4499,,
AUS,Australia,EUNF,Unspecified Fishing,MAL,Male,FU,Full time,2007,2007,NBR,Number,0,Units,,,4490,,
AUS,Australia,EUNF,Unspecified Fishing,MAL,Male,FU,Full time,2008,2008,NBR,Number,0,Units,,,6302,,
AUS,Australia,EUNF,Unspecified Fishing,MAL,Male,FU,Full time,2009,2009,NBR,Number,0,Units,,,2297,,
AUS,Australia,EUNF,Unspecified Fishing,MAL,Male,FU,Full time,2010,2010,NBR,Number,0,Units,,,5077,,
AUS,Australia,EUNF,Unspecified Fishing,MAL,Male,FU,Full time,2011,2011,NBR,Number,0,Units,,,5187,,
AUS,Australia,EUNF,Unspecified Fishing,MAL,Male,FU,Full time,2012,2012,NBR,Number,0,Units,,,4732,,
AUS,Australia,EUNF,Unspecified Fishing,MAL,Male,FU,Full time,2013,2013,NBR,Number,0,Units,,,4229,,
AUS,Australia,EUNF,Unspecified Fishing,MAL,Male,FU,Full time,2014,2014,NBR,Number,0,Units,,,2142,,
AUS,Australia,EUNF,Unspecified Fishing,MAL,Male,FU,Full time,2015,2015,NBR,Number,0,Units,,,5210,,
AUS,Australia,EUNF,Unspecified Fishing,MAL,Male,FU,Full time,2016,2016,NBR,Number,0,Units,,,4056,,
AUS,Australia,EUNF,Unspecified Fishing,MAL,Male,FU,Full time,2017,2017,NBR,Number,0,Units,,,5076,,
AUS,Australia,EUNF,Unspecified Fishing,FEM,Female,TT,Total by Occupation rate,2005,2005,NBR,Number,0,Units,,,1242,,
AUS,Australia,EUNF,Unspecified Fishing,FEM,Female,TT,Total by Occupation rate,2006,2006,NBR,Number,0,Units,,,1958,,
AUS,Australia,EUNF,Unspecified Fishing,FEM,Female,TT,Total by Occupation rate,2007,2007,NBR,Number,0,Units,,,918,,
AUS,Australia,EUNF,Unspecified Fishing,FEM,Female,TT,Total by Occupation rate,2008,2008,NBR,Number,0,Units,,,1438,,
AUS,Australia,EUNF,Unspecified Fishing,FEM,Female,TT,Total by Occupation rate,2009,2009,NBR,Number,0,Units,,,902,,
AUS,Australia,EUNF,Unspecified Fishing,FEM,Female,TT,Total by Occupation rate,2010,2010,NBR,Number,0,Units,,,955,,
AUS,Australia,EUNF,Unspecified Fishing,FEM,Female,TT,Total by Occupation rate,2011,2011,NBR,Number,0,Units,,,1103,,
AUS,Australia,EUNF,Unspecified Fishing,FEM,Female,TT,Total by Occupation rate,2012,2012,NBR,Number,0,Units,,,718,,
AUS,Australia,EUNF,Unspecified Fishing,FEM,Female,TT,Total by Occupation rate,2013,2013,NBR,Number,0,Units,,,769,,
AUS,Australia,EUNF,Unspecified Fishing,FEM,Female,TT,Total by Occupation rate,2014,2014,NBR,Number,0,Units,,,361,,
AUS,Australia,EUNF,Unspecified Fishing,FEM,Female,TT,Total by Occupation rate,2015,2015,NBR,Number,0,Units,,,896,,
AUS,Australia,EUNF,Unspecified Fishing,FEM,Female,TT,Total by Occupation rate,2016,2016,NBR,Number,0,Units,,,890,,
AUS,Australia,EUNF,Unspecified Fishing,FEM,Female,TT,Total by Occupation rate,2017,2017,NBR,Number,0,Units,,,888,,
AUS,Australia,EUNF,Unspecified Fishing,FEM,Female,PA,Part time,2005,2005,NBR,Number,0,Units,,,990,,
AUS,Australia,EUNF,Unspecified Fishing,FEM,Female,PA,Part time,2006,2006,NBR,Number,0,Units,,,1563,,
AUS,Australia,EUNF,Unspecified Fishing,FEM,Female,PA,Part time,2007,2007,NBR,Number,0,Units,,,579,,
AUS,Australia,EUNF,Unspecified Fishing,FEM,Female,PA,Part time,2008,2008,NBR,Number,0,Units,,,1043,,
AUS,Australia,EUNF,Unspecified Fishing,FEM,Female,PA,Part time,2009,2009,NBR,Number,0,Units,,,807,,
AUS,Australia,EUNF,Unspecified Fishing,FEM,Female,PA,Part time,2010,2010,NBR,Number,0,Units,,,530,,
